Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Region,Marketing_Channel,Customer_Tenure_Months,Product_Returnable,High_Return_Risk_Flag,Order_Weekday,Order_Month,Return_Label,Product_Margin,CLV_Estimate,Is_Weekend_Order,Return_Probability
ORD00000012,PROD00000012,USER00000012,2024-06-07,,Toys,216.41,3,No Return,Not Returned,0.0,66,Male,City17,PayPal,Standard,30.26,Central,Direct Traffic,12,0,0,Friday,6,0,186.15,649.23,0,0.518490093460368
ORD00000013,PROD00000013,USER00000013,2023-07-22,,Electronics,198.78,2,No Return,Not Returned,0.0,51,Male,City85,PayPal,Next-Day,36.58,North,SEO,7,1,0,Saturday,7,0,162.2,231.91000000000005,1,0.5275248432469678
ORD00000014,PROD00000014,USER00000014,2024-09-01,,Electronics,146.37,4,No Return,Not Returned,0.0,45,Male,City9,PayPal,Next-Day,28.23,Central,Email,17,1,0,Sunday,9,0,118.14,829.4300000000001,1,0.5206372290389344
ORD00000015,PROD00000015,USER00000015,2024-10-02,2023-12-04,Electronics,370.08,2,Wrong item,Returned,-303.0,24,Female,City27,Credit Card,Standard,23.99,South,Direct Traffic,1,1,0,Wednesday,10,1,346.09,61.67999999999999,0,0.4996763668046832
ORD00000016,PROD00000016,USER00000016,2024-05-09,,Clothing,311.08,1,No Return,Not Returned,0.0,52,Female,City77,PayPal,Standard,6.66,West,Social Media,58,1,1,Thursday,5,0,304.42,1503.553333333333,0,0.46900251463278303
ORD00000017,PROD00000017,USER00000017,2023-02-03,2023-06-03,Electronics,400.12,1,Defective,Returned,120.0,33,Male,City33,PayPal,Standard,18.25,North,SEO,50,1,0,Friday,2,1,381.87,1667.1666666666667,0,0.4797949137989799
ORD00000018,PROD00000018,USER00000018,2024-10-07,2023-03-18,Books,358.31,1,Changed mind,Returned,-569.0,51,Female,City43,PayPal,Standard,11.84,South,Email,26,0,0,Monday,10,1,346.47,776.3383333333333,0,0.47986386809848874
ORD00000019,PROD00000019,USER00000019,2024-07-06,2024-05-01,Electronics,227.94,5,Changed mind,Returned,-66.0,50,Female,City64,Debit Card,Express,43.86,South,Social Media,15,1,0,Saturday,7,1,184.08,1424.625,1,0.5368191267243999
ORD00000020,PROD00000020,USER00000020,2023-07-03,,Clothing,6.14,1,No Return,Not Returned,0.0,31,Female,City70,Credit Card,Next-Day,47.47,North,Social Media,51,1,1,Monday,7,0,-41.33,26.095,0,0.5392280469668524
ORD00000021,PROD00000021,USER00000021,2024-02-28,2023-01-06,Books,85.69,2,Changed mind,Returned,-418.0,30,Female,City26,Debit Card,Standard,24.58,East,Referral,60,0,0,Wednesday,2,1,61.11,856.9,0,0.505351912986599
ORD00000022,PROD00000022,USER00000022,2024-07-13,2023-09-13,Books,227.2,5,Wrong item,Returned,-304.0,65,Female,City90,Gift Card,Next-Day,27.94,East,Direct Traffic,33,0,0,Saturday,7,1,199.26,3124.0,1,0.5187750043711048
ORD00000023,PROD00000023,USER00000023,2024-07-01,2024-01-24,Electronics,57.14,2,Wrong item,Returned,-159.0,41,Female,City28,Gift Card,Standard,43.06,West,SEO,37,1,0,Monday,7,1,14.079999999999998,352.36333333333334,0,0.5364104489778148
ORD00000024,PROD00000024,USER00000024,2024-07-27,,Toys,274.29,2,No Return,Not Returned,0.0,18,Male,City84,Gift Card,Express,2.49,North,Email,47,0,0,Saturday,7,0,271.8,2148.605,1,0.47390545360132785
ORD00000025,PROD00000025,USER00000025,2024-11-22,,Electronics,371.15,5,No Return,Not Returned,0.0,58,Female,City83,Gift Card,Standard,18.68,Central,Referral,31,1,0,Friday,11,0,352.47,4794.020833333334,0,0.5044795176568863
ORD00000026,PROD00000026,USER00000026,2023-03-05,,Toys,232.97,5,No Return,Not Returned,0.0,21,Female,City98,Debit Card,Express,9.85,South,Direct Traffic,35,0,0,Sunday,3,0,223.12,3397.479166666666,1,0.4966121317381899
ORD00000027,PROD00000027,USER00000027,2024-05-26,,Home,455.82,1,No Return,Not Returned,0.0,52,Female,City10,PayPal,Express,11.96,West,Referral,1,1,0,Sunday,5,0,443.86,37.985,1,0.4778564434218619
ORD00000028,PROD00000028,USER00000028,2024-05-15,2024-09-05,Toys,106.6,5,Defective,Returned,113.0,53,Male,City69,Credit Card,Standard,18.42,West,Direct Traffic,8,0,0,Wednesday,5,1,88.17999999999999,355.3333333333333,0,0.5128355227808354
ORD00000029,PROD00000029,USER00000029,2024-04-06,,Books,317.9,5,No Return,Not Returned,0.0,59,Female,City32,Gift Card,Standard,18.05,West,Direct Traffic,12,0,0,Saturday,4,0,299.85,1589.5,1,0.499750809772268
ORD00000030,PROD00000030,USER00000030,2023-05-02,,Toys,413.34,3,No Return,Not Returned,0.0,49,Male,City55,Credit Card,Standard,38.29,North,SEO,59,0,1,Tuesday,5,0,375.05,6096.765,0,0.5210863125362817
ORD00000031,PROD00000031,USER00000031,2023-12-09,,Electronics,481.73,5,No Return,Not Returned,0.0,28,Female,City79,Credit Card,Next-Day,20.03,West,Direct Traffic,54,1,0,Saturday,12,0,461.7000000000001,10838.925,1,0.5174553906666757
ORD00000032,PROD00000032,USER00000032,2024-06-30,,Toys,308.89,4,No Return,Not Returned,0.0,68,Female,City47,Debit Card,Express,35.45,Central,Referral,57,0,0,Sunday,6,0,273.44,5868.91,1,0.5256306414754768
ORD00000033,PROD00000033,USER00000033,2024-02-03,2023-08-18,Home,335.28,4,Wrong item,Returned,-169.0,18,Male,City20,Debit Card,Next-Day,25.37,South,Direct Traffic,19,1,0,Saturday,2,1,309.91,2123.44,1,0.5073288885814852
ORD00000034,PROD00000034,USER00000034,2023-09-07,,Toys,290.49,3,No Return,Not Returned,0.0,34,Male,City42,PayPal,Next-Day,8.51,West,SEO,25,0,0,Thursday,9,0,281.98,1815.5625,0,0.4865170183738501
ORD00000035,PROD00000035,USER00000035,2024-07-23,,Clothing,331.26,2,No Return,Not Returned,0.0,46,Female,City95,PayPal,Standard,41.02,East,SEO,57,1,1,Tuesday,7,0,290.24,3146.97,0,0.5177990503536728
ORD00000036,PROD00000036,USER00000036,2024-01-07,2023-08-29,Electronics,115.82,5,Defective,Returned,-131.0,54,Female,City43,Credit Card,Express,23.76,South,Referral,32,1,0,Sunday,1,1,92.06,1544.2666666666664,1,0.5154743503338781
ORD00000037,PROD00000037,USER00000037,2023-02-11,2024-05-10,Clothing,246.15,1,Wrong item,Returned,454.0,31,Female,City62,Gift Card,Standard,23.63,Central,Social Media,12,1,1,Saturday,2,1,222.52,246.15,1,0.5060253039594886
ORD00000038,PROD00000038,USER00000038,2023-02-17,,Toys,43.82,2,No Return,Not Returned,0.0,28,Female,City11,Credit Card,Next-Day,14.6,East,Social Media,13,0,0,Friday,2,0,29.22,94.94333333333331,0,0.5101117553113598
ORD00000039,PROD00000039,USER00000039,2024-10-27,2024-10-19,Toys,266.34,4,Wrong item,Returned,-8.0,44,Female,City60,PayPal,Standard,30.88,South,Direct Traffic,28,0,0,Sunday,10,1,235.46,2485.84,1,0.5180551907265273
ORD00000040,PROD00000040,USER00000040,2023-03-21,,Toys,351.52,1,No Return,Not Returned,0.0,46,Male,City42,PayPal,Next-Day,11.58,West,Email,1,0,0,Tuesday,3,0,339.94,29.29333333333333,0,0.48573583324498343
ORD00000041,PROD00000041,USER00000041,2024-01-03,2023-01-15,Books,334.27,4,Changed mind,Returned,-353.0,69,Male,City81,PayPal,Express,43.44,North,Direct Traffic,51,0,0,Wednesday,1,1,290.83,5682.59,0,0.5347246780748101
ORD00000042,PROD00000042,USER00000042,2024-02-10,,Books,240.65,2,No Return,Not Returned,0.0,33,Female,City61,Gift Card,Standard,12.93,West,Referral,6,0,0,Saturday,2,0,227.72,240.65,1,0.49547053665733104
ORD00000043,PROD00000043,USER00000043,2024-05-23,2024-06-05,Clothing,105.7,3,Wrong item,Returned,13.0,44,Male,City41,Credit Card,Next-Day,42.07,North,Referral,8,1,1,Thursday,5,1,63.63,211.4,0,0.5412550709112351
ORD00000044,PROD00000044,USER00000044,2024-10-10,,Home,188.76,3,No Return,Not Returned,0.0,66,Female,City12,Gift Card,Standard,12.68,Central,Referral,4,1,0,Thursday,10,0,176.07999999999998,188.76,0,0.49984731908678165
ORD00000045,PROD00000045,USER00000045,2023-11-15,2023-02-05,Toys,294.18,2,Changed mind,Returned,-283.0,69,Male,City89,Gift Card,Next-Day,32.7,East,Referral,5,0,0,Wednesday,11,1,261.48,245.15,0,0.5158945781944702
ORD00000046,PROD00000046,USER00000046,2023-05-22,2024-03-09,Home,97.31,2,Changed mind,Returned,292.0,53,Female,City49,Debit Card,Next-Day,10.96,West,Referral,25,1,0,Monday,5,1,86.35,405.45833333333337,0,0.49839254129089355
ORD00000047,PROD00000047,USER00000047,2024-10-23,2024-03-22,Home,335.96,2,Wrong item,Returned,-215.0,63,Male,City5,Credit Card,Standard,19.05,South,SEO,22,1,0,Wednesday,10,1,316.91,1231.8533333333332,0,0.49416953417263815
ORD00000048,PROD00000048,USER00000048,2024-04-19,2023-11-16,Electronics,344.31,4,Not as described,Returned,-155.0,36,Male,City68,Credit Card,Express,10.99,West,Social Media,28,1,0,Friday,4,1,333.32,3213.5600000000004,0,0.49077559142533306
ORD00000049,PROD00000049,USER00000049,2024-03-14,,Clothing,297.62,4,No Return,Not Returned,0.0,52,Male,City53,Credit Card,Express,16.9,Central,Referral,39,1,1,Thursday,3,0,280.72,3869.06,0,0.5008724127792278
ORD00000050,PROD00000050,USER00000050,2023-06-14,2024-07-21,Books,23.6,1,Defective,Returned,403.0,37,Female,City12,Credit Card,Next-Day,6.53,Central,Email,23,0,0,Wednesday,6,1,17.07,45.23333333333333,0,0.49789062742051354
ORD00000051,PROD00000051,USER00000051,2024-03-27,,Toys,495.34,3,No Return,Not Returned,0.0,46,Female,City50,Debit Card,Express,43.34,West,Email,4,0,1,Wednesday,3,0,452.0,495.34,0,0.5143583124415372
ORD00000052,PROD00000052,USER00000052,2024-02-22,,Toys,49.47,2,No Return,Not Returned,0.0,53,Female,City46,Credit Card,Express,38.09,South,Email,52,0,0,Thursday,2,0,11.379999999999995,428.74,0,0.525787170695381
ORD00000053,PROD00000053,USER00000053,2024-03-12,2023-05-21,Clothing,359.9,3,Defective,Returned,-296.0,55,Female,City23,Debit Card,Standard,3.01,North,Email,4,1,1,Tuesday,3,1,356.89,359.8999999999999,0,0.47500107749271164
ORD00000054,PROD00000054,USER00000054,2023-02-12,,Home,283.79,2,No Return,Not Returned,0.0,42,Male,City76,Debit Card,Next-Day,30.81,North,SEO,47,1,0,Sunday,2,0,252.98,2223.0216666666665,1,0.5083400891998682
ORD00000055,PROD00000055,USER00000055,2023-04-30,2023-04-11,Home,352.93,4,Changed mind,Returned,-19.0,34,Male,City31,Gift Card,Express,22.83,West,Email,59,1,0,Sunday,4,1,330.1,6940.956666666667,1,0.5109312079035812
ORD00000056,PROD00000056,USER00000056,2024-02-04,,Electronics,353.51,4,No Return,Not Returned,0.0,39,Female,City24,Debit Card,Standard,17.72,North,Referral,21,1,0,Sunday,2,0,335.79,2474.57,1,0.49737550785306245
ORD00000057,PROD00000057,USER00000057,2024-09-22,2023-09-10,Books,301.68,2,Changed mind,Returned,-378.0,47,Male,City16,PayPal,Standard,30.59,West,Direct Traffic,37,0,0,Sunday,9,1,271.09000000000003,1860.36,1,0.508579852719435
ORD00000058,PROD00000058,USER00000058,2024-05-06,,Home,129.94,5,No Return,Not Returned,0.0,65,Female,City37,PayPal,Next-Day,12.83,Central,Email,56,1,0,Monday,5,0,117.11,3031.933333333334,0,0.4991297382601498
ORD00000059,PROD00000059,USER00000059,2023-02-13,,Electronics,16.37,2,No Return,Not Returned,0.0,32,Male,City65,Credit Card,Next-Day,16.08,West,SEO,41,1,0,Monday,2,0,0.2900000000000027,111.86166666666666,0,0.5039294185981
ORD00000060,PROD00000060,USER00000060,2024-10-26,2024-02-24,Books,389.83,4,Wrong item,Returned,-245.0,40,Female,City44,Gift Card,Express,12.23,South,SEO,2,0,0,Saturday,10,1,377.6,259.88666666666666,1,0.4841693985227503
ORD00000061,PROD00000061,USER00000061,2024-11-06,,Home,344.6,4,No Return,Not Returned,0.0,28,Female,City80,PayPal,Next-Day,40.95,Central,Email,59,1,0,Wednesday,11,0,303.65000000000003,6777.133333333334,0,0.5330949843407441
ORD00000062,PROD00000062,USER00000062,2023-12-12,,Clothing,195.24,5,No Return,Not Returned,0.0,53,Female,City3,Gift Card,Express,16.1,Central,Direct Traffic,7,1,1,Tuesday,12,0,179.14,569.45,0,0.5042391260855232
ORD00000063,PROD00000063,USER00000063,2023-11-21,,Clothing,428.0,1,No Return,Not Returned,0.0,50,Female,City81,Debit Card,Standard,12.39,North,Email,49,1,1,Tuesday,11,0,415.61,1747.6666666666663,0,0.4711081821296883
ORD00000064,PROD00000064,USER00000064,2024-07-06,2023-03-17,Books,429.41,3,Wrong item,Returned,-477.0,53,Male,City44,Debit Card,Next-Day,13.22,South,SEO,16,0,0,Saturday,7,1,416.19,1717.64,1,0.4839712346657319
ORD00000065,PROD00000065,USER00000065,2023-06-03,2023-09-22,Toys,280.61,2,Defective,Returned,111.0,32,Male,City92,Debit Card,Express,2.34,East,Social Media,17,0,0,Saturday,6,1,278.27000000000004,795.0616666666667,1,0.47781612289579334
ORD00000066,PROD00000066,USER00000066,2024-09-08,,Books,142.71,2,No Return,Not Returned,0.0,60,Female,City75,Debit Card,Next-Day,19.05,South,Referral,20,0,0,Sunday,9,0,123.66,475.7000000000001,1,0.5068517849504194
ORD00000067,PROD00000067,USER00000067,2023-11-07,2023-05-30,Toys,227.79,3,Not as described,Returned,-161.0,70,Female,City31,Gift Card,Next-Day,27.11,West,SEO,58,0,0,Tuesday,11,1,200.68,3302.955,0,0.5093752857851752
ORD00000068,PROD00000068,USER00000068,2023-11-13,2024-06-16,Electronics,394.08,3,Wrong item,Returned,216.0,62,Male,City28,Credit Card,Next-Day,12.27,West,Email,23,1,0,Monday,11,1,381.81,2265.96,0,0.4856895622255361
ORD00000069,PROD00000069,USER00000069,2024-06-11,,Clothing,266.88,2,No Return,Not Returned,0.0,65,Female,City3,Debit Card,Next-Day,21.32,Central,Referral,34,1,1,Tuesday,6,0,245.56,1512.3200000000002,0,0.4994400602934686
ORD00000070,PROD00000070,USER00000070,2024-05-24,2023-06-21,Toys,87.17,4,Defective,Returned,-338.0,46,Female,City50,Gift Card,Express,32.02,West,Email,11,0,0,Friday,5,1,55.15,319.62333333333333,0,0.5298356701668853
ORD00000071,PROD00000071,USER00000071,2024-08-21,,Toys,312.45,4,No Return,Not Returned,0.0,30,Female,City100,PayPal,Next-Day,33.19,West,Email,34,0,0,Wednesday,8,0,279.26,3541.1,0,0.519997436367066
ORD00000072,PROD00000072,USER00000072,2023-03-30,,Toys,481.58,3,No Return,Not Returned,0.0,39,Male,City97,Debit Card,Next-Day,22.71,South,Social Media,33,0,0,Thursday,3,0,458.87,3973.035,0,0.4959117052356438
ORD00000073,PROD00000073,USER00000073,2023-07-10,,Clothing,283.14,5,No Return,Not Returned,0.0,62,Male,City43,Credit Card,Standard,17.53,South,Referral,26,1,1,Monday,7,0,265.61,3067.3499999999995,0,0.5037910117563604
ORD00000074,PROD00000074,USER00000074,2024-02-21,,Toys,84.9,5,No Return,Not Returned,0.0,67,Female,City43,Gift Card,Next-Day,46.26,South,Referral,2,0,0,Wednesday,2,0,38.64000000000001,70.75,0,0.5495509568275482
ORD00000075,PROD00000075,USER00000075,2023-05-08,2024-01-19,Electronics,332.39,5,Not as described,Returned,256.0,36,Male,City53,Debit Card,Next-Day,24.31,Central,Social Media,23,1,0,Monday,5,1,308.08,3185.4041666666662,0,0.5098363868952244
ORD00000076,PROD00000076,USER00000076,2023-05-30,,Electronics,139.6,5,No Return,Not Returned,0.0,34,Male,City24,PayPal,Standard,13.87,North,SEO,41,1,0,Tuesday,5,0,125.73,2384.833333333333,0,0.5020799161048489
ORD00000077,PROD00000077,USER00000077,2023-04-09,2024-01-21,Books,185.34,2,Not as described,Returned,287.0,31,Female,City34,PayPal,Standard,36.01,East,Email,22,0,0,Sunday,4,1,149.33,679.58,1,0.5245116951765314
ORD00000078,PROD00000078,USER00000078,2023-05-07,2024-08-10,Toys,64.29,2,Not as described,Returned,461.0,39,Male,City57,Debit Card,Express,47.4,South,Direct Traffic,58,0,0,Sunday,5,1,16.890000000000008,621.47,1,0.5347183638591662
ORD00000079,PROD00000079,USER00000079,2024-08-07,,Electronics,231.65,5,No Return,Not Returned,0.0,58,Male,City14,Debit Card,Standard,45.83,West,Email,34,1,0,Wednesday,8,0,185.82,3281.708333333333,0,0.5407575447262498
ORD00000080,PROD00000080,USER00000080,2023-04-02,,Electronics,44.48,1,No Return,Not Returned,0.0,50,Male,City8,Debit Card,Express,27.66,East,Email,60,1,0,Sunday,4,0,16.819999999999997,222.4,1,0.5094438216103504
ORD00000081,PROD00000081,USER00000081,2024-03-21,2023-09-13,Clothing,429.47,5,Defective,Returned,-190.0,39,Male,City10,Gift Card,Standard,44.36,West,SEO,15,1,1,Thursday,3,1,385.11,2684.1875000000005,0,0.5272433452139949
ORD00000082,PROD00000082,USER00000082,2023-03-17,2023-08-31,Electronics,496.22,5,Changed mind,Returned,167.0,67,Male,City36,Gift Card,Next-Day,32.87,East,Email,10,1,1,Friday,3,1,463.35,2067.583333333334,0,0.5066651154644751
ORD00000083,PROD00000083,USER00000083,2023-06-08,2024-10-23,Electronics,52.19,1,Not as described,Returned,503.0,21,Female,City100,Debit Card,Standard,35.14,West,Social Media,15,1,0,Thursday,6,1,17.049999999999997,65.2375,0,0.5338038518772911
ORD00000084,PROD00000084,USER00000084,2024-11-18,,Books,427.29,3,No Return,Not Returned,0.0,51,Male,City28,PayPal,Standard,46.46,West,Social Media,42,0,1,Monday,11,0,380.83,4486.545,0,0.5286136694344881
ORD00000085,PROD00000085,USER00000085,2023-04-13,,Home,283.68,3,No Return,Not Returned,0.0,49,Male,City95,Credit Card,Next-Day,38.31,East,Referral,29,1,0,Thursday,4,0,245.37,2056.68,0,0.5234100570277985
ORD00000086,PROD00000086,USER00000086,2024-03-06,,Home,255.78,2,No Return,Not Returned,0.0,63,Female,City52,Credit Card,Next-Day,34.49,West,Direct Traffic,57,1,0,Wednesday,3,0,221.29,2429.91,0,0.5124368121807436
ORD00000087,PROD00000087,USER00000087,2023-08-03,,Books,478.47,4,No Return,Not Returned,0.0,22,Female,City71,PayPal,Standard,9.06,Central,Email,23,0,0,Thursday,8,0,469.41,3668.27,0,0.48159924013531424
ORD00000088,PROD00000088,USER00000088,2023-12-12,2023-09-27,Electronics,78.94,2,Changed mind,Returned,-76.0,23,Female,City1,Credit Card,Express,49.94,Central,Email,59,1,0,Tuesday,12,1,29.0,776.2433333333333,0,0.5370391713373602
ORD00000089,PROD00000089,USER00000089,2023-07-31,,Home,481.66,3,No Return,Not Returned,0.0,28,Male,City4,PayPal,Next-Day,20.8,Central,SEO,17,1,0,Monday,7,0,460.86,2047.055,0,0.4903068208956412
ORD00000090,PROD00000090,USER00000090,2024-10-10,,Toys,193.16,3,No Return,Not Returned,0.0,56,Male,City11,PayPal,Express,26.81,East,Social Media,60,0,0,Thursday,10,0,166.35,2897.4,0,0.509132360935346
ORD00000091,PROD00000091,USER00000091,2024-12-25,2024-08-11,Toys,99.21,1,Not as described,Returned,-136.0,29,Female,City17,PayPal,Next-Day,30.21,Central,Direct Traffic,9,0,0,Wednesday,12,1,69.0,74.4075,0,0.5262216114115503
ORD00000092,PROD00000092,USER00000092,2023-10-02,2024-02-27,Home,394.71,4,Changed mind,Returned,148.0,66,Female,City25,Gift Card,Next-Day,16.01,East,Referral,50,1,0,Monday,10,1,378.7,6578.5,0,0.500776343591628
ORD00000093,PROD00000093,USER00000093,2023-07-29,2024-07-01,Home,230.9,2,Defective,Returned,338.0,69,Male,City10,Credit Card,Next-Day,26.62,West,Social Media,36,1,0,Saturday,7,1,204.28,1385.4,1,0.5075106132335666
ORD00000094,PROD00000094,USER00000094,2024-04-03,,Clothing,296.56,1,No Return,Not Returned,0.0,39,Female,City97,Gift Card,Standard,32.02,South,Referral,9,1,1,Wednesday,4,0,264.54,222.42,0,0.5132956931095359
ORD00000095,PROD00000095,USER00000095,2023-02-27,,Books,490.55,1,No Return,Not Returned,0.0,62,Male,City10,PayPal,Standard,17.9,West,SEO,16,0,0,Monday,2,0,472.65,654.0666666666666,0,0.47977906565061196
ORD00000096,PROD00000096,USER00000096,2023-06-18,2023-11-08,Toys,496.31,4,Defective,Returned,143.0,53,Male,City88,Gift Card,Next-Day,10.15,West,SEO,36,0,0,Sunday,6,1,486.16,5955.72,1,0.48756360215177774
ORD00000097,PROD00000097,USER00000097,2024-12-08,2024-04-15,Toys,104.39,2,Defective,Returned,-237.0,58,Female,City46,Credit Card,Standard,28.68,South,Email,48,0,0,Sunday,12,1,75.71000000000001,835.12,1,0.513192092777994
ORD00000098,PROD00000098,USER00000098,2024-02-21,,Clothing,434.25,5,No Return,Not Returned,0.0,18,Female,City83,Gift Card,Express,7.11,Central,Direct Traffic,51,1,1,Wednesday,2,0,427.14,9227.8125,0,0.4988459613233864
ORD00000099,PROD00000099,USER00000099,2023-12-07,2024-12-30,Books,46.61,1,Wrong item,Returned,389.0,42,Male,City12,Credit Card,Next-Day,8.9,Central,Referral,33,0,0,Thursday,12,1,37.71,128.1775,0,0.49567041650559174
ORD00000100,PROD00000100,USER00000100,2023-10-30,,Clothing,284.49,4,No Return,Not Returned,0.0,48,Female,City59,Credit Card,Next-Day,39.82,South,Social Media,55,1,1,Monday,10,0,244.67,5215.65,0,0.5306116748090809
ORD00000101,PROD00000101,USER00000101,2024-05-01,2024-08-20,Books,169.93,5,Wrong item,Returned,111.0,40,Male,City40,Credit Card,Next-Day,27.73,West,SEO,31,0,0,Wednesday,5,1,142.20000000000002,2194.9291666666672,0,0.519461850774321
ORD00000102,PROD00000102,USER00000102,2023-09-21,,Books,146.37,4,No Return,Not Returned,0.0,23,Female,City66,Debit Card,Express,42.55,South,Email,6,0,0,Thursday,9,0,103.82,292.74,0,0.5396974134668249
ORD00000103,PROD00000103,USER00000103,2024-09-08,,Electronics,444.43,4,No Return,Not Returned,0.0,48,Female,City27,Debit Card,Next-Day,28.53,South,Email,10,1,0,Sunday,9,0,415.9,1481.4333333333334,1,0.5026977752754989
ORD00000104,PROD00000104,USER00000104,2023-04-10,2023-10-24,Home,35.16,3,Defective,Returned,197.0,48,Female,City27,PayPal,Next-Day,3.9,South,Referral,16,1,0,Monday,4,1,31.26,140.64,0,0.4967583831354879
ORD00000105,PROD00000105,USER00000105,2023-06-12,,Home,287.93,4,No Return,Not Returned,0.0,66,Female,City14,Debit Card,Standard,3.37,West,SEO,4,1,0,Monday,6,0,284.56,383.9066666666666,0,0.4813389898563437
ORD00000106,PROD00000106,USER00000106,2023-09-03,2023-04-04,Books,448.84,2,Changed mind,Returned,-152.0,60,Male,City20,Gift Card,Express,26.3,South,Direct Traffic,54,0,0,Sunday,9,1,422.54,4039.56,1,0.49554416919689476
ORD00000107,PROD00000107,USER00000107,2023-10-09,,Toys,168.68,2,No Return,Not Returned,0.0,48,Male,City22,PayPal,Standard,44.53,West,SEO,22,0,0,Monday,10,0,124.15,618.4933333333333,0,0.5360194878125072
ORD00000108,PROD00000108,USER00000108,2024-10-17,,Books,466.62,3,No Return,Not Returned,0.0,24,Male,City83,Debit Card,Express,8.36,Central,Referral,13,0,0,Thursday,10,0,458.26,1516.515,0,0.4751684184643817
ORD00000109,PROD00000109,USER00000109,2024-08-27,,Clothing,51.56,4,No Return,Not Returned,0.0,37,Male,City95,Credit Card,Express,44.74,East,Referral,16,1,1,Tuesday,8,0,6.82,274.9866666666667,0,0.5462196769560977
ORD00000110,PROD00000110,USER00000110,2024-05-31,,Toys,79.31,1,No Return,Not Returned,0.0,37,Female,City36,Gift Card,Next-Day,29.18,East,SEO,52,0,0,Friday,5,0,50.13,343.6766666666667,0,0.5120334502241086
ORD00000111,PROD00000111,USER00000111,2024-08-03,2023-09-01,Home,315.11,5,Defective,Returned,-337.0,50,Female,City71,PayPal,Express,37.68,Central,Referral,29,1,0,Saturday,8,1,277.43,3807.579166666667,1,0.5283917719036892
